category,rank,name,country,points,movement,profile
Men's Doubles,216,Cho Song Hyun/Kim Won-ho,,6698,,
Men's Doubles,217,Soh Wooi Yik/Tee Kai Wun,,6689,,
Men's Doubles,218,Chen Bo-yuan/Lu Ming Che,,6680,,
Men's Doubles,219,Karsten Spencer Darma/Michael Owen,,6660,,
Men's Doubles,220,Nur Izzuddin/Soh Wooi Yik,,6575,,
Men's Doubles,221,Pedersen A / Østergaard O,,6570,,
Men's Doubles,222,Singha G / Tanvir A J,,6430,,
Men's Doubles,223,Piboon C / Punpanich T,,6430,,
Men's Doubles,224,Ahmed Ali Abdelmajeed Elbahnasawy/Kareem Ezzat,,6395,,
Men's Doubles,225,Tanmoy Bikash Boruah/Kuldeep Kamal,,6360,,
Men's Doubles,226,Na Sung-seung/Wang Chan,,6350,,
Men's Doubles,227,Dharmagna Mandapati/Chiranjeevi Reddy Sundar,,6300,,
Men's Doubles,228,Eliel Melleri/Niilo Nyqvist,,6252,,
Men's Doubles,229,Kim Jae Hyeon/Lee Sang Won,,6240,,
Men's Doubles,230,Lai Yin Chung/Hing Long Wong,,6230,,
Men's Doubles,231,Filip Boehn/Sander Oesthassel,,6209,,
Men's Doubles,232,Fajar Alfian/Nikolaus Joaquin,,6163,,
Men's Doubles,233,Andrija Doder/Sergej Lukic,,6150,,
Men's Doubles,234,Dmitriy Panarin/Makhsut Tajibullayev,,6150,,
Men's Doubles,234,Tsai Cheng Han/Lu Chen,,6150,,
Men's Doubles,236,Cho Song Hyun/Lee Jong Min,,6096,,
Men's Doubles,237,Malaysia,,6090,,
Men's Doubles,237,Chang Ko-chi/Chen Sheng Fa,,6090,,
Men's Doubles,239,Daichi Miura/Yuto Nakashizu,,6070,,
Men's Doubles,240,Chen C / Cheng Y Y,,6040,,
Men's Doubles,241,Fajar Alfian/Muhammad Rian Ardianto,,6000,,
Men's Doubles,242,Yoshifumi Fujisawa/Shuntaro Mezaki,,5930,,
Men's Doubles,243,Victor Axander Ovalles Mordan/Ernick Zorrilla,,5890,,
Men's Doubles,244,Sansan Herdiansyah/Adriel Ferdinand Leonardo,,5850,,
Men's Doubles,245,Benjamin Horseman/Jia Bin Lee,,5730,,
Men's Doubles,246,Ang Nixon/Hymns Isaiah Shim,,5710,,
Men's Doubles,247,Ling D / M Shazmir I,,5650,,
Men's Doubles,248,Danielius Berzanskis/Domas Paksys,,5610,,
Men's Doubles,249,Duraiswamy N / Jegan P,,5600,,
Men's Doubles,249,Hung Bing Fu/Liu Fu Syuan,,5600,,
